retrieved;author_id;username;id;created_at(utc);lang;tweet;type;likes;quotes;replies;retweets;tweetcount;followers;following;url
04/08/2022 20:18:16;512613427;DangeRussWilson;1490839224337137665;08/02/2022 00:05:44;en;So thankful 🙏🏾  https://t.co/9ROpODteoY https://t.co/i3srMhyAoa;op;2276;13;73;106;12211;5669811;119;https://twitter.com/twitter/status/1490839224337137665
04/08/2022 20:18:16;512613427;DangeRussWilson;1490821308577292296;07/02/2022 22:54:32;art;❤️ https://t.co/ExfFpY7phG;quoted;2832;4;50;78;12211;5669811;119;https://twitter.com/twitter/status/1490821308577292296
04/08/2022 20:18:16;512613427;DangeRussWilson;1490420621519376385;06/02/2022 20:22:21;en;RT @Seahawks: Always time for @DangeRussWilson to show love to the @12s 💙 https://t.co/SIZv0HqvzW;retweeted;0;0;0;99;12211;5669811;119;https://twitter.com/twitter/status/1490420621519376385
04/08/2022 20:18:16;512613427;DangeRussWilson;1490420612312932352;06/02/2022 20:22:19;en;RT @Seahawks: Got that red carpet glow ⭐️  @DangeRussWilson x #ProBowl https://t.co/VuvUU0mown;retweeted;0;0;0;23;12211;5669811;119;https://twitter.com/twitter/status/1490420612312932352
04/08/2022 20:18:16;512613427;DangeRussWilson;1490371411755425795;06/02/2022 17:06:48;en;Another opportunity to Glorify YOU!!! #ProBowl 🙏🏾🙏🏾🙏🏾;op;5785;12;87;247;12211;5669811;119;https://twitter.com/twitter/status/1490371411755425795
04/08/2022 20:18:16;512613427;DangeRussWilson;1490086399516704772;05/02/2022 22:14:16;en;So grateful for the support. Hope y’all enjoy these! 🙏🏾🙏🏾🙏🏾 https://t.co/4KaRjr3Qf0;op;3084;18;77;168;12211;5669811;119;https://twitter.com/twitter/status/1490086399516704772
04/08/2022 20:18:16;512613427;DangeRussWilson;1490078230304342017;05/02/2022 21:41:49;und;🙌🏾🙌🏾🙌🏾 @ciara https://t.co/FBZWnX00Ij;quoted;2228;7;28;93;12211;5669811;119;https://twitter.com/twitter/status/1490078230304342017
04/08/2022 20:18:16;512613427;DangeRussWilson;1490007970041663490;05/02/2022 17:02:37;en;Woke up THANKFUL!!! 🙏🏾🙏🏾🙏🏾;op;10532;94;292;710;12211;5669811;119;https://twitter.com/twitter/status/1490007970041663490
04/08/2022 20:18:16;512613427;DangeRussWilson;1489994754339196930;05/02/2022 16:10:06;en;BE BLESSED!;op;4297;37;120;322;12211;5669811;119;https://twitter.com/twitter/status/1489994754339196930
04/08/2022 20:18:16;512613427;DangeRussWilson;1489983374055723010;05/02/2022 15:24:53;en;Thanks Coach! Always have looked up to you! God is Good!!! 🙏🏾🙏🏾🙏🏾 https://t.co/cdx47zj9Dm;quoted;3185;8;113;172;12211;5669811;119;https://twitter.com/twitter/status/1489983374055723010
04/08/2022 20:18:16;512613427;DangeRussWilson;1489753558618546176;05/02/2022 00:11:41;en;76.6.3. #ProBowl Number 9. 🙏🏾 @DuaneBrown76 @qdiggs6 https://t.co/zk2E98yhEf;op;3563;12;39;154;12211;5669811;119;https://twitter.com/twitter/status/1489753558618546176
04/08/2022 20:18:16;512613427;DangeRussWilson;1489722088105472001;04/02/2022 22:06:38;en;2022 #ProBowl in Vegas. The fans are amazing. So thankful!  NFC gonna win it all 🤪😎 https://t.co/I2rZpoi8mj;op;2874;23;69;151;12211;5669811;119;https://twitter.com/twitter/status/1489722088105472001
04/08/2022 20:18:16;512613427;DangeRussWilson;1489400130180636674;04/02/2022 00:47:17;art;RT @ciara: 🙌🏽🙌🏽🙌🏽;retweeted;0;0;0;212;12211;5669811;119;https://twitter.com/twitter/status/1489400130180636674
04/08/2022 20:18:16;512613427;DangeRussWilson;1489397013871480839;04/02/2022 00:34:54;en;Guess that finger stills works🤪🎯🏈  #ProBowlSkills https://t.co/zZpUPy2CXO;op;23041;862;638;1992;12211;5669811;119;https://twitter.com/twitter/status/1489397013871480839
